image_id,active_attributes,active_attribute_names
1,"[5, 98, 135, 137, 151, 165, 197, 218, 225, 263, 293, 308]","[""has_bill_shape::hooked_seabird"", ""has_head_pattern::masked"", ""has_throat_color::buff"", ""has_eye_color::brown"", ""has_bill_length::longer_than_head"", ""has_forehead_color::white"", ""has_nape_color::buff"", ""has_size::large_(16_-_32_in)"", ""has_shape::long-legged-like"", ""has_primary_color::buff"", ""has_bill_color::buff"", ""has_crown_color::buff""]"
2,"[15, 30, 45, 52, 64, 76, 85, 95, 100, 104, 118, 126, 134, 146, 152, 158, 166, 173, 188, 210, 213, 219, 236, 254, 265, 292, 299]","[""has_wing_color::grey"", ""has_upperparts_color::grey"", ""has_underparts_color::grey"", ""has_underparts_color::white"", ""has_back_color::grey"", ""has_tail_shape::notched_tail"", ""has_upper_tail_color::grey"", ""has_head_pattern::spotted"", ""has_head_pattern::eyebrow"", ""has_head_pattern::striped"", ""has_breast_color::white"", ""has_throat_color::grey"", ""has_throat_color::red"", ""has_eye_color::black"", ""has_bill_length::shorter_than_head"", ""has_forehead_color::grey"", ""has_forehead_color::red"", ""has_under_tail_color::grey"", ""has_nape_color::grey"", ""has_belly_color::white"", ""has_wing_shape::rounded-wings"", ""has_size::small_(5_-_9_in)"", ""has_shape::perching-like"", ""has_primary_color::grey"", ""has_leg_color::brown"", ""has_bill_color::red"", ""has_crown_color::grey""]"
3,"[5, 11, 21, 24, 26, 30, 36, 55, 73, 96, 103, 107, 135, 146, 150, 165, 184, 212, 217, 220, 228, 240, 250, 293, 308, 311]","[""has_bill_shape::hooked_seabird"", ""has_wing_color::brown"", ""has_wing_color::black"", ""has_wing_color::buff"", ""has_upperparts_color::brown"", ""has_upperparts_color::grey"", ""has_upperparts_color::black"", ""has_breast_pattern::solid"", ""has_back_color::buff"", ""has_head_pattern::malar"", ""has_head_pattern::eyeline"", ""has_breast_color::brown"", ""has_throat_color::buff"", ""has_eye_color::black"", ""has_bill_length::about_the_same_as_head"", ""has_forehead_color::white"", ""has_nape_color::brown"", ""has_belly_color::buff"", ""has_wing_shape::long-wings"", ""has_size::very_large_(32_-_72_in)"", ""has_shape::gull-like"", ""has_back_pattern::multi-colored"", ""has_primary_color::brown"", ""has_bill_color::buff"", ""has_crown_color::buff"", ""has_wing_pattern::striped""]"
4,"[5, 11, 26, 60, 76, 81, 92, 98, 122, 146, 150, 158, 165, 215, 221, 228, 237, 241, 250, 280, 290, 295, 306, 309]","[""has_bill_shape::hooked_seabird"", ""has_wing_color::brown"", ""has_upperparts_color::brown"", ""has_back_color::brown"", ""has_tail_shape::notched_tail"", ""has_upper_tail_color::brown"", ""has_upper_tail_color::white"", ""has_head_pattern::masked"", ""has_throat_color::brown"", ""has_eye_color::black"", ""has_bill_length::about_the_same_as_head"", ""has_forehead_color::grey"", ""has_forehead_color::white"", ""has_wing_shape::broad-wings"", ""has_size::medium_(9_-_16_in)"", ""has_shape::gull-like"", ""has_back_pattern::solid"", ""has_tail_pattern::solid"", ""has_primary_color::brown"", ""has_bill_color::brown"", ""has_bill_color::black"", ""has_crown_color::brown"", ""has_crown_color::white"", ""has_wing_pattern::solid""]"
5,"[5, 11, 21, 41, 51, 55, 77, 102, 107, 117, 122, 132, 147, 151, 154, 164, 169, 184, 194, 199, 209, 214, 217, 218, 228, 241, 245, 250, 260, 280, 295, 305]","[""has_bill_shape::hooked_seabird"", ""has_wing_color::brown"", ""has_wing_color::black"", ""has_underparts_color::brown"", ""has_underparts_color::black"", ""has_breast_pattern::solid"", ""has_tail_shape::fan-shaped_tail"", ""has_head_pattern::plain"", ""has_breast_color::brown"", ""has_breast_color::black"", ""has_throat_color::brown"", ""has_throat_color::black"", ""has_eye_color::white"", ""has_bill_length::longer_than_head"", ""has_forehead_color::brown"", ""has_forehead_color::black"", ""has_under_tail_color::brown"", ""has_nape_color::brown"", ""has_nape_color::black"", ""has_belly_color::brown"", ""has_belly_color::black"", ""has_wing_shape::pointed-wings"", ""has_wing_shape::long-wings"", ""has_size::large_(16_-_32_in)"", ""has_shape::gull-like"", ""has_tail_pattern::solid"", ""has_belly_pattern::solid"", ""has_primary_color::brown"", ""has_primary_color::black"", ""has_bill_color::brown"", ""has_crown_color::brown"", ""has_crown_color::black""]"
6,"[5, 11, 22, 24, 26, 36, 37, 39, 60, 71, 73, 77, 81, 92, 94, 104, 122, 133, 135, 146, 150, 165, 167, 184, 197, 213, 218, 235, 240, 244, 250, 263, 293, 306, 308, 310]","[""has_bill_shape::hooked_seabird"", ""has_wing_color::brown"", ""has_wing_color::white"", ""has_wing_color::buff"", ""has_upperparts_color::brown"", ""has_upperparts_color::black"", ""has_upperparts_color::white"", ""has_upperparts_color::buff"", ""has_back_color::brown"", ""has_back_color::white"", ""has_back_color::buff"", ""has_tail_shape::fan-shaped_tail"", ""has_upper_tail_color::brown"", ""has_upper_tail_color::white"", ""has_upper_tail_color::buff"", ""has_head_pattern::striped"", ""has_throat_color::brown"", ""has_throat_color::white"", ""has_throat_color::buff"", ""has_eye_color::black"", ""has_bill_length::about_the_same_as_head"", ""has_forehead_color::white"", ""has_forehead_color::buff"", ""has_nape_color::brown"", ""has_nape_color::buff"", ""has_wing_shape::rounded-wings"", ""has_size::large_(16_-_32_in)"", ""has_shape::swallow-like"", ""has_back_pattern::multi-colored"", ""has_tail_pattern::multi-colored"", ""has_primary_color::brown"", ""has_primary_color::buff"", ""has_bill_color::buff"", ""has_crown_color::white"", ""has_crown_color::buff"", ""has_wing_pattern::spotted""]"
7,"[6, 101, 107, 135, 146, 150, 165, 184, 221, 226, 250, 280, 295]","[""has_bill_shape::spatulate"", ""has_head_pattern::eyering"", ""has_breast_color::brown"", ""has_throat_color::buff"", ""has_eye_color::black"", ""has_bill_length::about_the_same_as_head"", ""has_forehead_color::white"", ""has_nape_color::brown"", ""has_size::medium_(9_-_16_in)"", ""has_shape::duck-like"", ""has_primary_color::brown"", ""has_bill_color::brown"", ""has_crown_color::brown""]"
8,"[6, 11, 21, 26, 36, 37, 41, 51, 52, 58, 60, 70, 75, 81, 91, 100, 117, 122, 132, 146, 150, 165, 169, 179, 184, 194, 195, 199, 209, 213, 221, 226, 240, 244, 248, 250, 260, 265, 275, 280, 295, 306, 312]","[""has_bill_shape::spatulate"", ""has_wing_color::brown"", ""has_wing_color::black"", ""has_upperparts_color::brown"", ""has_upperparts_color::black"", ""has_upperparts_color::white"", ""has_underparts_color::brown"", ""has_underparts_color::black"", ""has_underparts_color::white"", ""has_breast_pattern::multi-colored"", ""has_back_color::brown"", ""has_back_color::black"", ""has_tail_shape::rounded_tail"", ""has_upper_tail_color::brown"", ""has_upper_tail_color::black"", ""has_head_pattern::eyebrow"", ""has_breast_color::black"", ""has_throat_color::brown"", ""has_throat_color::black"", ""has_eye_color::black"", ""has_bill_length::about_the_same_as_head"", ""has_forehead_color::white"", ""has_under_tail_color::brown"", ""has_under_tail_color::black"", ""has_nape_color::brown"", ""has_nape_color::black"", ""has_nape_color::white"", ""has_belly_color::brown"", ""has_belly_color::black"", ""has_wing_shape::rounded-wings"", ""has_size::medium_(9_-_16_in)"", ""has_shape::duck-like"", ""has_back_pattern::multi-colored"", ""has_tail_pattern::multi-colored"", ""has_belly_pattern::multi-colored"", ""has_primary_color::brown"", ""has_primary_color::black"", ""has_leg_color::brown"", ""has_leg_color::black"", ""has_bill_color::brown"", ""has_crown_color::brown"", ""has_crown_color::white"", ""has_wing_pattern::multi-colored""]"
9,"[2, 11, 26, 45, 55, 60, 78, 85, 102, 111, 126, 146, 150, 158, 188, 203, 217, 219, 223, 237, 241, 245, 254, 284, 299, 309]","[""has_bill_shape::dagger"", ""has_wing_color::brown"", ""has_upperparts_color::brown"", ""has_underparts_color::grey"", ""has_breast_pattern::solid"", ""has_back_color::brown"", ""has_tail_shape::pointed_tail"", ""has_upper_tail_color::grey"", ""has_head_pattern::plain"", ""has_breast_color::grey"", ""has_throat_color::grey"", ""has_eye_color::black"", ""has_bill_length::about_the_same_as_head"", ""has_forehead_color::grey"", ""has_nape_color::grey"", ""has_belly_color::grey"", ""has_wing_shape::long-wings"", ""has_size::small_(5_-_9_in)"", ""has_shape::upright-perching_water-like"", ""has_back_pattern::solid"", ""has_tail_pattern::solid"", ""has_belly_pattern::solid"", ""has_primary_color::grey"", ""has_bill_color::grey"", ""has_crown_color::grey"", ""has_wing_pattern::solid""]"
10,"[221, 226, 260, 261]","[""has_size::medium_(9_-_16_in)"", ""has_shape::duck-like"", ""has_primary_color::black"", ""has_primary_color::white""]"
