image_id,parent_image_id,label,class_name_readable,relative_path,image_path,source,generation_method,external_generator_note
synthetic_32_0,32,0,Black footed Albatross,class_000\img00032_aug00.jpg,C:\Users\abuba\OneDrive\Desktop\GEN_AI\project\outputs\samples\synthetic_candidates\class_000\img00032_aug00.jpg,synthetic,foreground_preserving_background_swap,
synthetic_51_0,51,0,Black footed Albatross,class_000\img00051_aug00.jpg,C:\Users\abuba\OneDrive\Desktop\GEN_AI\project\outputs\samples\synthetic_candidates\class_000\img00051_aug00.jpg,synthetic,foreground_preserving_background_swap,
synthetic_77_0,77,1,Laysan Albatross,class_001\img00077_aug00.jpg,C:\Users\abuba\OneDrive\Desktop\GEN_AI\project\outputs\samples\synthetic_candidates\class_001\img00077_aug00.jpg,synthetic,foreground_preserving_background_swap,
synthetic_81_0,81,1,Laysan Albatross,class_001\img00081_aug00.jpg,C:\Users\abuba\OneDrive\Desktop\GEN_AI\project\outputs\samples\synthetic_candidates\class_001\img00081_aug00.jpg,synthetic,foreground_preserving_background_swap,
synthetic_131_0,131,2,Sooty Albatross,class_002\img00131_aug00.jpg,C:\Users\abuba\OneDrive\Desktop\GEN_AI\project\outputs\samples\synthetic_candidates\class_002\img00131_aug00.jpg,synthetic,foreground_preserving_background_swap,
synthetic_121_0,121,2,Sooty Albatross,class_002\img00121_aug00.jpg,C:\Users\abuba\OneDrive\Desktop\GEN_AI\project\outputs\samples\synthetic_candidates\class_002\img00121_aug00.jpg,synthetic,foreground_preserving_background_swap,
synthetic_235_0,235,3,Groove billed Ani,class_003\img00235_aug00.jpg,C:\Users\abuba\OneDrive\Desktop\GEN_AI\project\outputs\samples\synthetic_candidates\class_003\img00235_aug00.jpg,synthetic,foreground_preserving_background_swap,
synthetic_197_0,197,3,Groove billed Ani,class_003\img00197_aug00.jpg,C:\Users\abuba\OneDrive\Desktop\GEN_AI\project\outputs\samples\synthetic_candidates\class_003\img00197_aug00.jpg,synthetic,foreground_preserving_background_swap,
synthetic_263_0,263,4,Crested Auklet,class_004\img00263_aug00.jpg,C:\Users\abuba\OneDrive\Desktop\GEN_AI\project\outputs\samples\synthetic_candidates\class_004\img00263_aug00.jpg,synthetic,foreground_preserving_background_swap,
synthetic_275_0,275,4,Crested Auklet,class_004\img00275_aug00.jpg,C:\Users\abuba\OneDrive\Desktop\GEN_AI\project\outputs\samples\synthetic_candidates\class_004\img00275_aug00.jpg,synthetic,foreground_preserving_background_swap,
synthetic_291_0,291,5,Least Auklet,class_005\img00291_aug00.jpg,C:\Users\abuba\OneDrive\Desktop\GEN_AI\project\outputs\samples\synthetic_candidates\class_005\img00291_aug00.jpg,synthetic,foreground_preserving_background_swap,
synthetic_288_0,288,5,Least Auklet,class_005\img00288_aug00.jpg,C:\Users\abuba\OneDrive\Desktop\GEN_AI\project\outputs\samples\synthetic_candidates\class_005\img00288_aug00.jpg,synthetic,foreground_preserving_background_swap,
synthetic_345_0,345,6,Parakeet Auklet,class_006\img00345_aug00.jpg,C:\Users\abuba\OneDrive\Desktop\GEN_AI\project\outputs\samples\synthetic_candidates\class_006\img00345_aug00.jpg,synthetic,foreground_preserving_background_swap,
synthetic_364_0,364,6,Parakeet Auklet,class_006\img00364_aug00.jpg,C:\Users\abuba\OneDrive\Desktop\GEN_AI\project\outputs\samples\synthetic_candidates\class_006\img00364_aug00.jpg,synthetic,foreground_preserving_background_swap,
synthetic_414_0,414,7,Rhinoceros Auklet,class_007\img00414_aug00.jpg,C:\Users\abuba\OneDrive\Desktop\GEN_AI\project\outputs\samples\synthetic_candidates\class_007\img00414_aug00.jpg,synthetic,foreground_preserving_background_swap,
synthetic_413_0,413,7,Rhinoceros Auklet,class_007\img00413_aug00.jpg,C:\Users\abuba\OneDrive\Desktop\GEN_AI\project\outputs\samples\synthetic_candidates\class_007\img00413_aug00.jpg,synthetic,foreground_preserving_background_swap,
synthetic_446_0,446,8,Brewer Blackbird,class_008\img00446_aug00.jpg,C:\Users\abuba\OneDrive\Desktop\GEN_AI\project\outputs\samples\synthetic_candidates\class_008\img00446_aug00.jpg,synthetic,foreground_preserving_background_swap,
synthetic_477_0,477,8,Brewer Blackbird,class_008\img00477_aug00.jpg,C:\Users\abuba\OneDrive\Desktop\GEN_AI\project\outputs\samples\synthetic_candidates\class_008\img00477_aug00.jpg,synthetic,foreground_preserving_background_swap,
synthetic_524_0,524,9,Red winged Blackbird,class_009\img00524_aug00.jpg,C:\Users\abuba\OneDrive\Desktop\GEN_AI\project\outputs\samples\synthetic_candidates\class_009\img00524_aug00.jpg,synthetic,foreground_preserving_background_swap,
synthetic_542_0,542,9,Red winged Blackbird,class_009\img00542_aug00.jpg,C:\Users\abuba\OneDrive\Desktop\GEN_AI\project\outputs\samples\synthetic_candidates\class_009\img00542_aug00.jpg,synthetic,foreground_preserving_background_swap,
synthetic_574_0,574,10,Rusty Blackbird,class_010\img00574_aug00.jpg,C:\Users\abuba\OneDrive\Desktop\GEN_AI\project\outputs\samples\synthetic_candidates\class_010\img00574_aug00.jpg,synthetic,foreground_preserving_background_swap,
synthetic_581_0,581,10,Rusty Blackbird,class_010\img00581_aug00.jpg,C:\Users\abuba\OneDrive\Desktop\GEN_AI\project\outputs\samples\synthetic_candidates\class_010\img00581_aug00.jpg,synthetic,foreground_preserving_background_swap,
synthetic_653_0,653,11,Yellow headed Blackbird,class_011\img00653_aug00.jpg,C:\Users\abuba\OneDrive\Desktop\GEN_AI\project\outputs\samples\synthetic_candidates\class_011\img00653_aug00.jpg,synthetic,foreground_preserving_background_swap,
