epoch,stage_name,train_loss,train_accuracy,val_loss,val_accuracy,lr,epoch_seconds,skipped_oom_batches
1,main,4.821,0.065,4.601,0.112,0.001,142.1,0
2,main,4.215,0.134,3.951,0.198,0.001,140.5,0
3,main,3.652,0.218,3.410,0.284,0.001,141.2,0
4,main,3.155,0.301,2.985,0.365,0.001,140.8,0
5,main,2.712,0.384,2.540,0.432,0.001,139.9,0
6,main,2.254,0.471,2.210,0.491,0.001,142.0,0
7,main,1.894,0.562,1.985,0.551,0.001,141.5,0
8,main,1.520,0.640,1.750,0.598,0.001,140.2,0
9,main,1.214,0.725,1.542,0.641,0.001,139.7,0
10,main,0.985,0.785,1.350,0.692,0.001,141.4,0
11,main,0.852,0.820,1.220,0.725,0.0001,140.6,0
12,main,0.710,0.865,1.100,0.751,0.0001,141.1,0
13,main,0.612,0.891,0.985,0.772,0.0001,140.9,0
14,main,0.540,0.912,0.895,0.784,0.0001,141.2,0
15,main,0.485,0.930,0.852,0.795,0.0001,140.8,0
16,main,0.420,0.945,0.810,0.804,0.0001,141.5,0
17,main,0.395,0.952,0.785,0.811,0.0001,140.3,0
18,main,0.360,0.960,0.772,0.815,0.0001,141.1,0
19,main,0.332,0.965,0.760,0.818,0.0001,140.7,0
20,main,0.315,0.970,0.755,0.820,0.0001,141.6,0
21,main,0.295,0.974,0.748,0.821,0.00001,140.9,0
22,main,0.280,0.978,0.745,0.822,0.00001,141.2,0
23,main,0.265,0.980,0.742,0.822,0.00001,140.8,0
24,main,0.252,0.983,0.740,0.823,0.00001,141.0,0
25,main,0.240,0.985,0.738,0.823,0.00001,140.5,0
26,main,0.225,0.988,0.736,0.824,0.00001,141.3,0
27,main,0.218,0.990,0.735,0.824,0.00001,140.9,0
28,main,0.205,0.992,0.734,0.825,0.00001,141.1,0
29,main,0.198,0.993,0.734,0.825,0.00001,140.4,0
30,main,0.190,0.995,0.733,0.825,0.00001,141.5,0
